v1,v2
Valid,Generate me a meal plan for 3 days
Valid,Give me a meal plan for a week and 2 meals per day
Valid,Meal plan for the week 
Valid,Give me a meal plan for the day
Valid,Generate me a meal plan for the weekend
Valid,Plan 3 meals per day for the next month
Valid,Generate a 3 meal plan for 7 days a week
Valid,Create a vegetarian meal plan for a week
Valid,Plan meals for a keto diet for 7 days
Valid,Generate a gluten-free meal plan for 7 days
Valid,Create a balanced meal plan for 7 days
Valid,Generate a high-protein meal plan for 7 days
Valid,Plan a low-carb meal plan for 7 days
Valid,Create a vegan meal plan for 7 days
Valid,Generate a meal plan for the upcoming week
Valid,Create a daily meal schedule for three days
Valid,Suggest a meal plan for the work week
Valid,Plan healthy meals for Monday through Friday
Valid,Give me a meal plan for two adults for the weekend
Valid,"Design a meal plan for five days with breakfast, lunch, and dinner"
Valid,Generate a simple meal plan for the next three days
Valid,Create a meal plan for one person for the next seven meals
Valid,"Plan out meals for an entire week, including snacks"
Valid,Suggest a meal plan for a family of four for six days
Valid,Outline a meal plan for the next five lunches and dinners
Valid,Provide a week-long menu with three meals per day
Valid,Help me organize meals for the next ten days
Valid,"Suggest a meal plan for the weekdays, including quick breakfast ideas"
Valid,Generate a meal plan for someone with a busy schedule for one week
Valid,Plan out dinners for the next seven evenings
Valid,Give me a meal plan for the next eight meals
Valid,"Design a meal plan for three days, including snacks and desserts"
Valid,Suggest a meal plan for a family for the next weekend
Valid,"Create a meal plan for the next week with breakfast, lunch, and dinner"
Valid,Generate a balanced meal schedule for five days
Valid,Plan meals for the upcoming workweek without recipes
Valid,Outline a meal plan for three days including snacks
Valid,Provide a meal plan for seven days focusing on portion control
Valid,Suggest a meal plan for a family for four days
Valid,Design a meal plan for the next ten meals
Valid,Generate a weekly meal plan emphasizing variety
Valid,Create a meal plan for weekdays only with three meals per day
Valid,Plan meals for a busy week without including recipes
Valid,Give me a vegetarian meal plan for 5 days
Valid,Create a meal plan for a single person for 7 days
Valid,Plan my meals for this weekend
Valid,Make a healthy meal plan for the next 3 days
Valid,Weekly meal plan for a family of four
Valid,I need a meal plan for Monday to Friday
Valid,Can you give me a 2-day meal plan?
Valid,Create a meal plan for the next 7 days
Valid,Help me with a meal plan for the week ahead
Valid,Design a meal plan for 3 people for the next week
Valid,I need a meal plan for just one day
Valid,Plan my meals for the upcoming weekend
Valid,Create a 5-day lunch and dinner meal plan
Valid,Give me a keto meal plan for a week
Valid,Make a meal plan for my weekdays
Valid,Provide a meal plan for 2 days with 3 meals each
Valid,Make a meal plan for the weekend getaway
Valid,Create a weekly meal plan with 2 meals per day
Valid,Generate a meal plan covering Monday to Sunday
Valid,Meal plan for a couple for 7 days
Valid,"Write a meal plan for 1 week, vegetarian only"
Valid,Suggest a meal plan for the weekend trip
Valid,Can I get a meal plan for just the weekend?
Valid,I need meals planned for the next three days
Valid,Make me a 3-day meal plan with breakfast included
Valid,Help me plan meals for the week
Valid,Can you generate a 7-day meal plan for me?
Valid,Meal plan request for the week
Valid,Show me a meal plan for a single day
Valid,Provide a 3-meal-a-day plan for one day
Valid,Give me meals for Friday through Sunday
Valid,Meal plan ideas for a 5-day work week
Valid,"Give me a one-day meal plan, all meals included"
Valid,Need a meal plan for my next 4 days
Valid,Plan meals for Saturday and Sunday
Valid,Generate meals for the full week
Valid,Help me with a meal plan for this Friday through Monday
Valid,Give me a meal plan that covers lunch and dinner for a week
Valid,"One week of meal planning, please"
Valid,Make a weekend meal plan with snacks included
Valid,I’d like a meal plan for Monday to Saturday
Valid,Create meals for 3 days straight
Valid,Daily meal plan needed for the week
Valid,Design a full day’s meal plan
Valid,Give me a weekend-only meal plan
Valid,Show a meal plan for 5 weekdays
Valid,I want a 3-meal daily plan for 7 days
Valid,Generate a detailed meal plan for the next seven days
Valid,Plan out healthy meals for the next workweek
Valid,"Create a meal plan for the next three days, including all main meals"
Valid,Suggest a meal plan for two people for five days
Valid,Provide a meal plan for one week with options for each meal
Valid,"Outline a meal plan for four days, covering breakfast, lunch, and dinner"
Valid,Design a meal plan for the weekend
Valid,Generate a meal plan for the next six days
Valid,"Plan meals for the next week, focusing on balanced nutrition"
Valid,Create a meal plan for five consecutive days
Valid,"Build a meal plan for the next seven breakfasts, lunches, and dinners"
Valid,Develop a meal plan for the school week
Valid,Organize meals for the next four days
Valid,Set up a meal plan for a family for the next week
Valid,Arrange a meal plan for the next five breakfasts and dinners
Valid,Prepare a meal plan for the next two weeks
Valid,Schedule meals for the upcoming weekend
Valid,Draft a meal plan for the next six lunches
Valid,Create a meal plan for alternating days over one week
Valid,Generate a meal plan for the next nine meals
Valid,"Plan meals for the next seven days, focusing on budget-friendly options"
Valid,Provide a meal plan for the next three workdays
Valid,Suggest a meal plan for the next eight days
Valid,Outline a meal plan for the next five lunches
Valid,Organize a meal plan for a busy family for the next week
Valid,Build a meal plan for five consecutive breakfasts
Valid,Set up a meal plan for the next four evenings
Valid,Develop a meal plan for a couple for the next week
Valid,"Arrange meals for the next seven days, including light dinners"
Valid,"Prepare a meal plan for six days, focusing on variety"
Valid,Schedule a meal plan for the next three breakfasts
Valid,"Draft a meal plan for the next five days, including all meals"
Valid,Create a meal plan for the next four lunches and dinners
Valid,"Generate a meal plan for the next seven days, with healthy options"
Valid,"Plan meals for the next week, focusing on easy preparation"
Valid,Provide a meal plan for the next six breakfasts
Valid,"Suggest a meal plan for the next five days, covering all meals"
Valid,"Outline a meal plan for the next four days, focusing on balanced meals"
Valid,Organize a meal plan for the next week with three meals daily
Valid,"Build a meal plan for the next seven days, with alternating cuisines"
Valid,Set up a meal plan for the next five dinners
Valid,"Develop a meal plan for the next six days, including snacks"
Valid,"Arrange a meal plan for the next week, focusing on quick meals"
Valid,Prepare a meal plan for the next four breakfasts
Valid,Schedule a meal plan for the next five lunches and dinners
Valid,"Draft a meal plan for the next seven days, with a focus on nutrition"
Valid,"Create a meal plan for the next week, including all main meals"
